,Name,metascore,userscore
290,Affordable Space Adventures,81.0,8.1
291,Afrika,63.0,6.2
292,Afro Samurai,65.0,6.2
293,Afro Samurai 2: Revenge of Kuma Volume One,21.0,2.8499999999999996
294,After Burner Climax,73.5,6.1
295,After Burner: Black Falcon,73.0,7.2
296,After the Fall,68.0,6.35
297,Aftercharge,69.0,6.05
298,Afterfall: InSanity,50.0,5.8
299,Afterparty,73.33333333333333,6.833333333333333
300,Again: Interactive Crime Novel,52.0,6.7
301,Agarest: Generations of War,45.0,6.9
302,Agatha Christie - Hercule Poirot: The First Cases,75.0,6.599999999999999
303,Agatha Christie: And Then There Were None,59.0,6.85
304,Agatha Christie: Evil Under the Sun,56.0,7.05
305,Agatha Christie: Murder on the Orient Express,60.0,7.3
306,Agatha Christie: The ABC Murders,63.0,6.925
307,Age of Booty,75.0,5.733333333333333
308,Age of Conan: Hyborian Adventures,80.0,7.3
309,Age of Conan: Rise of the Godslayer,83.0,7.7
310,Age of Empires,83.0,8.6
311,Age of Empires II: Definitive Edition,84.0,8.5
312,Age of Empires II: HD Edition,68.0,7.9
313,Age of Empires II: The Age of Kings,92.0,9.0
314,Age of Empires III,81.0,7.7
315,Age of Empires III: Definitive Edition,75.0,5.8
316,Age of Empires III: The Asian Dynasties,81.0,8.4
317,Age of Empires III: The WarChiefs,80.0,7.8
318,Age of Empires IV,81.0,7.7
319,Age of Empires Online,70.0,5.7
320,Age of Empires: Definitive Edition,69.0,6.7
321,Age of Empires: Mythologies,78.0,7.2
322,Age of Empires: The Age of Kings,80.0,8.0
323,Age of Mythology,89.0,8.8
324,Age of Mythology: Extended Edition,66.0,7.6
325,Age of Mythology: The Titans,84.0,8.8
326,Age of Pirates 2: City of Abandoned Ships,61.0,7.5
327,Age of Pirates: Caribbean Tales,56.0,5.7
328,Age of Wonders II: The Wizard's Throne,86.0,8.7
329,Age of Wonders III,80.0,8.0
330,Age of Wonders III - Eternal Lords,80.0,8.6
331,Age of Wonders III - Golden Realms,82.0,8.7
332,Age of Wonders: Planetfall,81.33333333333333,6.8999999999999995
333,Age of Wonders: Shadow Magic,82.0,8.8
334,Age of Wushu,74.0,5.4
335,Age of Zombies,76.5,6.7
336,Agents of Mayhem,67.66666666666667,6.133333333333333
337,Aggelos,74.0,5.449999999999999
338,Aggressive Inline,83.25,7.733333333333333
339,Aggressors: Ancient Rome,76.0,8.1
340,Agony,39.333333333333336,4.433333333333334
341,AiRace Speed,68.0,7.5
342,AiRace Xeno,66.0,6.8
