,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,userscore
195,Tomb Raider (2013),Action,Square Enix,2.33,3.2800000000000002,0.15,1.04,6.8,,
196,Gears of War 2,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,93.0,7.9
197,Uncharted 2: Among Thieves,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,96.0,8.8
198,Medal of Honor: Rising Sun,Shooter,Electronic Arts,3.07,2.68,0.13,0.8600000000000001,6.72,68.0,6.6
199,NBA 2K14,Sports,Take-Two Interactive,5.12,0.9500000000000001,0.05,0.6000000000000001,6.72,85.5,5.5200000000000005
200,Madden NFL 11,Sports,Electronic Arts,5.88,0.29,0.0,0.52,6.68,80.66666666666667,6.275
201,Teenage Mutant Ninja Turtles,Action,Palcom,4.9799999999999995,1.18,0.31,0.19999999999999998,6.67,60.75,7.3
202,Big Brain Academy,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,74.0,7.4
203,Star Wars: Battlefront II,Shooter,LucasArts,4.47,1.6,0.04,0.57,6.67,73.5,8.55
204,The Lord of the Rings: The Two Towers,Action,Electronic Arts,3.33,2.5,0.08,0.75,6.65,81.0,8.233333333333333
205,Tony Hawk's Pro Skater 2,Sports,Activision,4.49,1.88,0.02,0.23,6.619999999999999,93.0,7.4799999999999995
206,Just Dance 2014,Misc,Ubisoft,3.68,2.31,0.0,0.6,6.58,75.5,6.76
207,Madden NFL 13,Sports,Electronic Arts,5.67,0.4,0.0,0.47000000000000003,6.53,75.5,6.540000000000001
208,The Legend of Zelda,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,
209,Halo: Combat Evolved,Shooter,Microsoft Game Studios,4.99,1.32,0.08,0.08,6.47,90.0,8.25
210,Tony Hawk's Underground,Sports,Activision,4.11,1.8399999999999999,0.01,0.5,6.47,87.5,7.85
211,Finding Nemo,Action,THQ,4.02,1.99,0.09,0.36,6.46,62.5,6.766666666666667
212,Resident Evil 2,Action,Virgin Interactive,2.31,1.57,2.09,0.46,6.44,83.85714285714286,9.028571428571428
213,Need for Speed Carbon,Racing,Electronic Arts,3.55,2.14,0.12000000000000001,0.59,6.42,73.66666666666667,7.5
214,Kung Fu Panda,Action,Activision,3.42,1.96,0.0,1.02,6.42,73.0,7.433333333333334
215,Pokémon Emerald Version,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,,
216,Madden NFL 2002,Sports,Electronic Arts,4.92,0.93,0.01,0.57,6.41,85.0,7.05
217,Pokémon Crystal Version,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,
218,FIFA Soccer 07,Sports,Electronic Arts,1.54,3.54,0.03,1.27,6.380000000000001,,
219,Michael Jackson: The Experience,Misc,Ubisoft,3.92,1.85,0.01,0.6,6.37,64.0,7.5
220,LEGO Batman 2: DC Super Heroes,Action,Warner Bros. Interactive Entertainment,3.4,2.31,0.0,0.65,6.37,75.33333333333333,6.8
221,The Legend of Zelda: The Wind Waker,Action,Nintendo,3.5300000000000002,1.56,1.03,0.26,6.369999999999999,96.0,8.9
222,Halo 3: ODST,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,83.0,7.6
223,Frogger,Action,Hasbro Interactive,5.85,0.39,0.0,0.13,6.36,61.0,6.949999999999999
224,Super Mario Sunshine,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,8.4
225,Street Fighter II: The World Warrior,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,
226,World of Warcraft,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93.0,7.4
227,Driver,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,7.15
228,Skylanders SWAP Force,Platform,Activision,3.5300000000000002,2.08,0.0,0.66,6.26,,
229,Kinect Sports,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,73.0,7.7
230,Gears of War 3,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,91.0,8.1
231,Carnival Games,Misc,Take-Two Interactive,3.36,2.14,0.05,0.61,6.1499999999999995,52.0,4.550000000000001
232,Gears of War,Shooter,Microsoft Game Studios,3.54,1.91,0.07,0.6,6.13,90.5,8.05
233,Golf,Sports,Nintendo,2.05,0.6100000000000001,3.38,0.08,6.13,,
234,Metal Gear Solid,Action,Konami Digital Entertainment,3.18,1.83,0.8500000000000001,0.24,6.1000000000000005,88.5,8.600000000000001
235,NBA 2K13,Sports,Take-Two Interactive,4.79,0.74,0.060000000000000005,0.5,6.1,88.25,7.2
236,The Simpsons: Road Rage,Racing,Electronic Arts,3.85,1.8,0.0,0.45999999999999996,6.09,55.0,7.2
237,Toy Story 3: The Video Game,Action,Disney Interactive Studios,2.7600000000000002,2.56,0.02,0.73,6.08,,
238,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,Square Enix,0.65,0.75,4.47,0.2,6.07,87.0,8.649999999999999
239,Grand Theft Auto: Vice City Stories,Action,Take-Two Interactive,2.48,2.05,0.19,1.3399999999999999,6.05,80.5,7.8
240,Metal Gear Solid 2: Sons of Liberty,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,8.8
241,Sonic the Hedgehog 2,Platform,Sega,4.47,1.2,0.16,0.19,6.03,82.0,8.25
